max -1.05x + -2.26y + 0.11z
-4.37x + -1.87y + 2.54z <= 807.55
8.7x + -6.18y + -8.75z <= 450.39
6.89x + -3.51y + -1.34z <= 504.98
7.94x + -6.47y + -1.48z <= 126.45
1.93x + -9.89y + -4.08z <= 185.02
8.7x + 1.48y + -8.58z <= 787.2
-9.91x + -5.65y + -0.12z <= 277.61
-5.57x + 5.36y + 1.08z <= 784.54
8.0x + -8.89y + 2.69z <= 488.18
-6.33x + -6.37y + 0.38z <= 254.02
-7.33x + -5.14y + -5.39z <= 702.19
-7.75x + 2.46y + -0.2z <= 948.1
-0.55x + 8.41y + -8.15z <= 931.27
-2.93x + 2.99y + -4.95z <= 551.81
-9.65x + 9.01y + -9.26z <= 474.39
5.2x + 0.57y + 5.57z <= 824.93
-8.11x + -3.59y + 3.48z <= 560.69
1.9x + 1.28y + 7.92z <= 223.41
4.4x + 1.03y + -6.44z <= 772.59
-4.08x + -2.21y + -4.89z <= 731.49
3.95x + 6.47y + 4.93z <= 482.97
-1.02x + -7.5y + 5.57z <= 465.97
8.13x + 4.09y + 7.77z <= 986.73
-5.56x + -2.81y + -6.82z <= 369.75
-3.88x + 6.57y + 4.51z <= 209.11
2.19x + -5.44y + 2.49z <= 868.95
8.51x + -3.16y + 8.31z <= 385.22
-8.41x + 8.07y + -2.01z <= 620.12
-8.69x + 1.49y + -7.62z <= 796.51
3.74x + 9.41y + -6.03z <= 438.5
-3.69x + -2.92y + 5.03z <= 201.13
-2.67x + 9.81y + -0.06z <= 982.9
3.9x + -3.39y + -6.25z <= 597.51
-5.14x + -9.63y + -2.88z <= 965.63
7.87x + 7.88y + -0.45z <= 894.73
-5.54x + -5.41y + -6.41z <= 300.23
9.77x + -9.67y + -6.49z <= 703.05
3.34x + -8.67y + -7.79z <= 122.99
1.92x + -0.9y + 7.59z <= 802.86
-8.68x + 2.57y + -8.17z <= 390.15
0.95x + -6.41y + -9.02z <= 470.22
7.62x + -7.03y + -4.1z <= 999.42
6.54x + 9.54y + -3.84z <= 654.25
0.31x + -4.66y + 3.87z <= 925.96
0.81x + -6.88y + 0.73z <= 667.58
5.92x + 5.14y + -3.16z <= 895.04
4.31x + -2.81y + -8.74z <= 318.2
-7.89x + 5.06y + 2.23z <= 571.16
-5.75x + -9.72y + 2.24z <= 991.92
6.68x + -7.89y + -1.44z <= 152.06
