max 4.18x + -6.67y + -3.92z
-6.47x + -6.84y + 6.55z <= 962.23
-8.36x + -0.3y + -4.81z <= 976.68
4.81x + 2.46y + -2.94z <= 698.01
-5.0x + 4.82y + 6.36z <= 676.48
0.21x + 9.06y + 2.45z <= 430.16
-4.78x + -6.21y + 9.26z <= 145.14
4.8x + -1.52y + -7.91z <= 173.46
3.6x + 2.12y + 4.89z <= 655.91
-7.64x + 2.07y + -1.06z <= 288.69
7.19x + -6.55y + -8.73z <= 251.26
-8.38x + 5.94y + 1.38z <= 742.36
-1.06x + 8.14y + -1.11z <= 146.87
0.44x + 4.23y + -5.06z <= 257.43
-8.55x + -8.53y + 3.48z <= 250.35
-6.86x + -1.43y + -1.1z <= 390.68
-0.34x + 0.58y + 7.44z <= 840.99
-5.18x + -4.71y + 5.45z <= 895.34
9.68x + 9.9y + -8.39z <= 980.22
-0.22x + 3.65y + 8.14z <= 704.25
5.52x + 3.45y + 5.5z <= 523.03
2.76x + -4.68y + 8.5z <= 395.78
2.22x + -9.1y + 3.94z <= 655.9
-4.42x + -5.52y + -1.61z <= 309.09
9.37x + -3.93y + 4.41z <= 659.55
9.18x + -7.92y + -1.85z <= 463.83
-1.85x + 7.34y + -2.54z <= 315.05
4.47x + -8.35y + -3.6z <= 923.11
2.57x + -5.48y + 3.93z <= 737.02
0.01x + -2.5y + -1.81z <= 224.06
4.0x + -1.77y + 5.35z <= 751.29
7.43x + 9.47y + -3.46z <= 672.4
2.5x + 1.52y + 0.42z <= 505.24
-0.85x + -2.92y + 3.34z <= 930.16
-9.08x + 8.16y + 4.51z <= 729.18
-0.15x + -8.53y + 1.7z <= 725.88
2.88x + 4.95y + -2.51z <= 690.51
-9.23x + 7.36y + 9.99z <= 616.04
-9.17x + 2.27y + 9.66z <= 659.97
-7.42x + 6.13y + -2.05z <= 464.42
8.34x + -5.27y + -9.25z <= 519.39
-7.88x + 3.75y + 9.1z <= 577.29
8.25x + 8.67y + 3.38z <= 823.08
-9.4x + -1.07y + 8.28z <= 937.14
8.95x + 6.31y + 7.8z <= 712.96
-2.12x + 1.77y + -8.07z <= 557.21
-8.63x + 7.66y + -9.56z <= 929.59
-9.7x + -3.77y + 1.39z <= 382.63
-9.59x + 0.66y + -9.86z <= 468.58
4.95x + -0.87y + 7.73z <= 570.77
4.03x + 2.05y + 6.85z <= 134.06
-5.71x + 1.73y + 1.83z <= 429.49
-7.76x + 1.65y + -3.72z <= 585.17
-2.33x + -5.36y + 6.75z <= 602.36
1.68x + 3.03y + -5.53z <= 280.18
9.66x + -4.26y + -7.25z <= 521.68
-2.72x + -3.98y + 6.51z <= 712.63
-5.4x + -9.87y + 2.86z <= 570.38
7.23x + -5.19y + 7.39z <= 988.9
-9.14x + 9.34y + -1.81z <= 635.82
3.74x + -6.25y + -7.05z <= 624.43
3.12x + -3.66y + 9.05z <= 309.15
-7.39x + 8.08y + -5.13z <= 732.69
-2.06x + -1.26y + 4.69z <= 756.6
7.76x + -2.28y + 1.35z <= 625.86
-9.11x + -3.24y + -5.95z <= 344.49
-4.23x + 2.19y + 9.48z <= 868.13
1.09x + -0.23y + -0.85z <= 815.62
-2.82x + -5.12y + 7.39z <= 227.71
-6.31x + -0.23y + 9.16z <= 554.53
-2.71x + 1.79y + 6.8z <= 407.29
-0.67x + 8.15y + -6.97z <= 587.97
-6.91x + -5.16y + 7.79z <= 919.4
4.59x + 7.58y + -1.24z <= 232.87
-8.27x + -7.63y + -5.56z <= 323.38
-5.24x + -4.0y + -9.08z <= 311.69
2.61x + 5.97y + 1.12z <= 717.8
0.43x + 4.02y + -3.37z <= 594.95
2.72x + -2.26y + 0.95z <= 237.3
1.12x + 5.51y + -3.49z <= 619.28
7.01x + 1.45y + 2.26z <= 905.77
4.3x + -6.06y + -1.4z <= 653.12
3.5x + 0.49y + 1.72z <= 109.05
0.88x + -8.16y + -6.64z <= 209.66
-6.8x + -8.81y + -5.47z <= 325.41
-8.2x + 4.86y + -8.41z <= 663.87
-1.31x + -5.16y + -4.21z <= 283.65
0.83x + -1.35y + 0.93z <= 773.96
-8.07x + -1.47y + -3.03z <= 351.11
3.7x + -0.7y + -4.77z <= 495.38
4.72x + -4.17y + 6.05z <= 404.72
3.75x + 3.7y + -1.68z <= 874.6
-2.16x + 8.6y + -5.13z <= 675.61
2.05x + 3.45y + 5.81z <= 924.99
2.34x + -4.1y + 3.95z <= 837.06
6.75x + -7.11y + 9.05z <= 657.11
-5.83x + -0.93y + -5.67z <= 656.59
3.55x + 6.9y + -6.49z <= 841.96
8.04x + -2.41y + -2.99z <= 523.32
-2.53x + 0.37y + -4.67z <= 720.22
-9.67x + 1.25y + 0.14z <= 611.44
-8.61x + 4.1y + 4.38z <= 936.69
-7.36x + -8.71y + 9.21z <= 224.43
2.31x + -6.13y + 2.21z <= 738.59
-4.34x + -2.81y + 7.73z <= 575.08
-3.49x + -5.2y + -8.97z <= 901.73
-9.35x + -2.42y + -9.81z <= 482.91
-3.16x + 5.51y + -8.57z <= 408.12
-0.34x + 6.36y + 1.16z <= 701.52
3.26x + 6.21y + 5.61z <= 613.6
-9.76x + 0.97y + -0.44z <= 735.23
