max -7.62x + -0.42y + 9.44z
1.42x + 3.82y + 2.39z <= 289.53
-9.73x + -6.11y + 0.3z <= 385.99
3.72x + -4.62y + -4.81z <= 798.84
-0.79x + 9.55y + -1.08z <= 665.33
1.26x + -1.23y + -0.23z <= 499.94
-5.24x + -3.99y + -9.82z <= 417.09
-0.08x + 3.2y + -4.94z <= 284.34
-7.45x + 4.34y + -2.88z <= 835.48
1.51x + 2.65y + 1.24z <= 413.36
-7.32x + -3.21y + -2.24z <= 834.7
9.24x + -6.25y + 9.34z <= 514.01
0.6x + 9.32y + 4.3z <= 500.16
5.76x + 1.71y + -5.88z <= 472.19
4.92x + 8.87y + -4.59z <= 665.01
7.55x + 4.99y + -0.25z <= 846.09
-7.36x + -4.88y + -6.5z <= 599.03
7.84x + -2.82y + -5.42z <= 809.31
-6.74x + 1.44y + 6.86z <= 172.97
-1.27x + 9.16y + 0.06z <= 861.58
0.2x + -1.16y + -1.18z <= 648.91
9.05x + 1.44y + -8.87z <= 416.71
7.26x + 0.27y + -8.46z <= 476.82
7.15x + -9.06y + 8.88z <= 940.39
-1.35x + -9.58y + -6.16z <= 319.21
-9.81x + -6.71y + -9.43z <= 517.01
4.12x + 1.43y + -1.94z <= 458.81
0.39x + -8.57y + 6.17z <= 820.44
-1.53x + 8.12y + 4.0z <= 388.59
1.61x + 8.48y + 0.5z <= 755.81
-2.6x + -1.48y + -9.6z <= 119.33
-8.54x + 0.43y + -5.78z <= 686.04
4.14x + 1.07y + -6.86z <= 285.45
4.19x + 9.14y + -3.63z <= 385.19
7.77x + -5.19y + 0.07z <= 217.05
-4.24x + 3.35y + 5.59z <= 400.14
5.76x + 9.67y + 8.83z <= 840.53
-1.46x + -0.58y + -3.49z <= 959.17
-9.63x + 0.87y + -5.96z <= 982.92
-5.9x + 3.48y + -3.16z <= 622.64
-6.16x + -5.43y + 8.87z <= 227.52
8.9x + 1.05y + 1.57z <= 478.14
4.42x + -5.34y + -9.2z <= 796.67
9.9x + 9.02y + 6.78z <= 869.35
-6.02x + -6.22y + -3.32z <= 886.46
-7.75x + 6.56y + -9.58z <= 939.24
-8.7x + 5.78y + -8.46z <= 262.49
9.47x + 7.64y + -5.67z <= 549.81
1.65x + 1.74y + 8.99z <= 131.97
-8.09x + 3.35y + -2.88z <= 551.87
6.02x + 1.25y + 2.28z <= 874.94
-2.06x + -4.65y + 3.85z <= 101.27
-3.29x + -2.48y + 7.79z <= 896.64
6.79x + -5.43y + 5.36z <= 161.87
-9.11x + -6.82y + 7.82z <= 821.41
-4.94x + -4.72y + 2.81z <= 368.18
