max 4.95x + -4.82y + -2.61z
-6.97x + 2.46y + 9.92z <= 989.06
-5.44x + -7.87y + -1.59z <= 286.44
8.21x + -2.54y + -4.7z <= 592.4
7.28x + -0.37y + -1.01z <= 295.08
-5.19x + -4.78y + -1.49z <= 302.96
8.92x + -1.29y + -7.26z <= 810.4
4.72x + -5.36y + -8.01z <= 931.29
2.07x + -8.96y + 0.94z <= 839.71
-5.77x + 1.1y + -9.35z <= 584.74
-6.98x + -9.0y + -9.88z <= 695.0
-9.27x + 3.67y + -8.72z <= 331.14
-1.64x + -4.72y + -3.56z <= 850.5
-2.95x + 9.76y + -3.97z <= 179.98
2.44x + 3.51y + 7.42z <= 802.15
-0.14x + 7.18y + 3.0z <= 252.51
1.41x + -5.19y + 7.45z <= 278.46
5.2x + 3.54y + 2.02z <= 192.75
-0.54x + 2.71y + 4.8z <= 779.99
8.59x + -8.78y + 0.41z <= 759.89
1.93x + 9.93y + -1.32z <= 867.11
-8.87x + 3.61y + 5.16z <= 831.76
-8.81x + -4.31y + -7.95z <= 867.66
-5.83x + 1.45y + 4.14z <= 284.39
1.48x + -7.91y + -8.1z <= 721.79
-4.41x + 6.1y + 0.67z <= 626.4
-9.05x + -2.48y + 2.11z <= 119.66
-8.28x + 9.26y + 3.86z <= 978.39
7.46x + -2.98y + 2.27z <= 212.61
7.37x + -9.58y + -7.61z <= 731.05
-5.18x + -5.24y + 4.67z <= 164.78
9.46x + 1.11y + -8.67z <= 820.63
-7.14x + 2.89y + -2.61z <= 268.5
-4.73x + 5.0y + -6.6z <= 505.0
0.64x + -8.47y + -9.29z <= 743.15
-5.58x + -5.68y + 2.41z <= 325.98
-8.59x + -9.05y + 9.69z <= 958.91
-3.92x + -9.45y + 0.44z <= 122.31
1.29x + 3.34y + -9.41z <= 301.21
8.35x + 4.91y + -2.64z <= 684.25
-3.76x + 3.26y + 0.04z <= 547.29
2.8x + 3.88y + 1.92z <= 724.55
1.95x + 9.77y + 6.64z <= 138.48
-5.01x + 3.46y + -9.17z <= 939.27
-9.48x + 2.46y + 2.98z <= 983.34
-3.5x + 3.7y + -6.42z <= 745.64
0.59x + -0.96y + -4.57z <= 592.07
-5.44x + 6.44y + -8.24z <= 463.45
-1.51x + 4.51y + 6.44z <= 975.3
6.69x + 9.73y + -6.82z <= 884.47
-9.07x + 4.68y + 2.95z <= 476.68
1.56x + -2.72y + -7.38z <= 901.0
6.8x + -6.56y + -8.58z <= 283.25
1.97x + 9.95y + 0.79z <= 923.98
-0.62x + 3.2y + -7.63z <= 200.73
2.46x + 8.39y + 8.07z <= 904.27
7.31x + -4.21y + -9.89z <= 617.85
8.04x + 4.51y + -7.9z <= 528.38
-6.99x + 3.52y + -3.64z <= 721.2
-4.82x + 2.94y + -7.36z <= 853.92
-3.96x + 4.83y + 6.97z <= 104.74
3.85x + 5.76y + 5.3z <= 151.23
-6.66x + -4.38y + 1.67z <= 870.95
-1.01x + 4.64y + 1.11z <= 403.65
4.53x + 0.53y + 0.04z <= 472.26
-8.6x + -2.61y + -8.86z <= 688.22
-9.97x + -0.4y + -9.47z <= 392.78
-2.65x + -5.95y + 2.07z <= 262.74
0.18x + -6.59y + -4.26z <= 584.12
9.68x + 5.17y + -0.1z <= 264.52
0.73x + -1.12y + 1.6z <= 264.08
4.37x + 7.71y + -2.82z <= 166.5
-5.41x + -5.12y + 2.23z <= 690.65
9.59x + -7.09y + 1.88z <= 333.43
-5.49x + 3.03y + -2.94z <= 559.22
-9.65x + -6.63y + 3.93z <= 615.05
6.48x + -9.19y + 4.13z <= 650.05
7.04x + 3.57y + 8.36z <= 903.21
