max 4.33x + 3.98y + 6.22z
-5.03x + 2.18y + 3.5z <= 137.26
8.32x + 0.49y + 1.89z <= 810.52
5.92x + 5.45y + -3.62z <= 280.48
0.36x + 8.51y + 4.53z <= 289.57
-5.12x + -4.17y + -4.74z <= 619.43
5.55x + 9.79y + 4.23z <= 869.75
-6.4x + -1.0y + -1.78z <= 140.63
5.01x + 8.37y + 2.43z <= 170.54
3.25x + 6.2y + -1.9z <= 282.77
4.0x + -6.09y + 9.95z <= 307.95
0.18x + -2.14y + -9.17z <= 287.21
5.3x + -3.94y + 8.01z <= 167.3
-6.21x + -3.78y + -6.73z <= 112.67
3.91x + -1.86y + -9.9z <= 769.68
-0.84x + 5.8y + -0.48z <= 771.73
-8.57x + -5.89y + 7.03z <= 121.89
3.6x + -6.25y + -1.05z <= 491.55
7.94x + -7.13y + 1.45z <= 379.52
7.92x + -9.64y + -8.74z <= 968.02
-0.24x + -7.46y + -3.68z <= 652.75
-6.02x + -1.33y + 0.84z <= 765.65
-4.94x + 7.31y + 0.33z <= 948.2
-9.75x + -3.94y + -9.32z <= 534.37
-3.7x + 4.21y + 7.28z <= 531.07
-8.42x + -3.29y + -4.28z <= 600.66
-1.38x + 3.5y + -3.75z <= 166.83
4.07x + -4.41y + -8.14z <= 592.01
-1.19x + -6.55y + 9.12z <= 166.55
0.77x + -0.23y + -4.38z <= 183.3
-3.43x + 7.93y + 4.45z <= 105.05
-0.54x + 5.72y + 6.35z <= 597.04
-8.89x + 7.12y + -3.86z <= 878.91
2.52x + 9.13y + -5.34z <= 903.45
4.76x + 2.0y + -5.1z <= 329.28
-8.16x + -3.09y + -0.68z <= 336.1
-2.98x + 5.74y + -0.02z <= 759.9
2.67x + 2.46y + 9.99z <= 809.99
-6.33x + 4.93y + 4.45z <= 858.33
0.88x + 5.9y + -6.43z <= 529.09
7.02x + -4.08y + -5.89z <= 526.6
-2.18x + 5.38y + 1.8z <= 775.55
-5.05x + -2.75y + 8.37z <= 978.51
-5.22x + -2.59y + -2.88z <= 247.49
1.24x + -5.85y + -0.22z <= 164.16
-3.29x + -7.39y + 0.7z <= 857.16
9.24x + -5.34y + -4.76z <= 145.06
8.1x + -4.47y + -5.37z <= 485.46
4.43x + 4.31y + 6.93z <= 695.34
8.91x + -0.82y + -1.02z <= 751.53
2.37x + -5.27y + -4.86z <= 799.8
-4.5x + -6.28y + -3.38z <= 205.6
9.07x + -6.19y + -0.43z <= 107.65
2.55x + -8.15y + -7.08z <= 406.86
-0.59x + -3.89y + 4.63z <= 857.45
-9.19x + 6.77y + 2.26z <= 854.26
8.23x + -2.14y + 1.53z <= 900.82
1.81x + 4.53y + -5.74z <= 155.86
6.49x + -4.48y + 3.41z <= 961.02
-0.86x + -7.76y + -4.8z <= 896.4
8.58x + 1.99y + 2.76z <= 115.84
6.67x + 2.02y + -3.49z <= 216.47
-5.03x + -6.35y + -6.36z <= 960.12
-0.62x + -6.53y + 4.79z <= 848.35
9.87x + -4.01y + -7.06z <= 565.82
9.16x + 8.88y + 8.87z <= 119.01
-4.3x + -2.19y + 5.56z <= 826.05
-9.19x + -8.76y + -6.21z <= 917.75
-9.74x + -1.52y + -7.35z <= 796.22
7.32x + -1.99y + -0.18z <= 707.03
1.88x + -2.04y + -7.23z <= 839.92
8.15x + -4.61y + -0.03z <= 985.28
6.82x + 0.57y + -7.58z <= 960.02
-2.59x + 7.36y + -7.82z <= 356.38
0.27x + -8.19y + 8.08z <= 909.18
-4.68x + 5.54y + -9.41z <= 344.14
-5.56x + -1.54y + 6.35z <= 365.59
3.89x + 5.32y + 1.38z <= 805.09
-5.6x + 2.84y + -4.2z <= 383.48
8.26x + 9.39y + 1.37z <= 480.36
3.56x + 1.75y + -4.69z <= 748.67
-0.42x + -9.1y + -6.18z <= 141.12
-9.29x + 8.17y + 5.91z <= 531.62
-5.9x + -5.89y + 5.19z <= 137.88
-2.6x + -8.28y + -4.57z <= 951.15
4.8x + -9.95y + -8.2z <= 528.9
6.21x + -6.49y + 3.37z <= 104.9
6.79x + 9.4y + -3.14z <= 897.79
2.67x + -4.09y + 7.14z <= 514.38
-7.04x + 2.96y + 5.88z <= 326.17
-5.07x + 3.54y + 3.8z <= 346.8
-8.41x + 3.04y + 3.8z <= 541.96
2.94x + -6.98y + 6.66z <= 130.46
-7.5x + 0.82y + -0.7z <= 258.81
-6.91x + 4.59y + 5.37z <= 766.38
6.75x + 6.56y + -5.63z <= 811.14
-0.13x + -0.83y + 6.24z <= 419.43
8.85x + -4.38y + -0.44z <= 425.63
2.85x + -7.81y + 6.91z <= 469.83
8.75x + -4.97y + -0.27z <= 446.23
0.51x + -4.94y + 7.07z <= 120.33
