max -9.19x + -8.95y + 2.64z
8.37x + 5.62y + -4.25z <= 121.81
-5.42x + 1.9y + -6.47z <= 700.19
0.35x + -5.99y + 8.6z <= 489.27
5.84x + -9.66y + -0.43z <= 787.52
0.52x + -5.54y + -2.31z <= 466.28
1.0x + -7.87y + 8.35z <= 127.65
8.62x + 1.74y + 4.49z <= 162.15
9.85x + -4.67y + 2.82z <= 677.69
-0.75x + -7.44y + -4.37z <= 869.32
-1.61x + -4.36y + -0.09z <= 539.88
-0.29x + -5.93y + -2.4z <= 761.66
3.89x + 7.37y + 2.84z <= 863.57
3.55x + 5.62y + -8.62z <= 795.22
1.64x + -1.41y + 6.06z <= 354.03
-2.57x + -9.6y + 8.39z <= 153.24
-5.52x + 4.64y + -6.64z <= 359.37
8.76x + 9.4y + 9.98z <= 830.32
8.05x + -8.93y + 3.54z <= 464.46
9.03x + -5.48y + 8.65z <= 461.53
-2.95x + -6.15y + 2.61z <= 455.27
-8.83x + 3.19y + 2.19z <= 301.46
9.69x + -7.83y + -3.74z <= 225.93
-7.31x + -6.5y + -6.14z <= 447.72
-2.51x + -5.72y + -6.15z <= 865.24
9.47x + 0.38y + -3.5z <= 812.82
9.85x + -6.44y + 4.98z <= 597.05
-2.1x + 2.67y + 6.87z <= 551.68
1.69x + -4.65y + 0.51z <= 212.8
-1.85x + 2.12y + 2.22z <= 241.69
-9.96x + -0.97y + 5.25z <= 819.85
3.71x + -5.53y + -8.02z <= 903.79
-3.39x + -6.52y + 9.29z <= 123.04
2.93x + 5.85y + 0.16z <= 563.86
-6.54x + 3.07y + 0.12z <= 564.01
-8.05x + 6.63y + -5.74z <= 464.92
3.63x + 9.14y + -6.71z <= 830.87
6.73x + 7.9y + 7.26z <= 638.88
7.3x + 6.43y + 2.64z <= 625.14
6.82x + -3.12y + 0.16z <= 201.95
0.37x + 3.16y + -4.94z <= 501.32
-4.51x + 7.75y + 3.32z <= 355.77
4.85x + 4.96y + 1.3z <= 334.51
5.89x + 0.17y + 0.21z <= 123.42
8.34x + 2.96y + 0.27z <= 425.3
-7.74x + 3.79y + -6.22z <= 837.24
-0.22x + -4.34y + -7.91z <= 453.04
-7.7x + 3.17y + -2.59z <= 485.58
-6.49x + 1.58y + 6.38z <= 284.65
5.08x + 1.91y + -7.11z <= 195.65
-4.13x + 6.49y + 4.12z <= 689.81
-0.25x + -1.56y + -7.17z <= 897.88
-7.75x + -4.98y + -6.92z <= 167.03
5.02x + 2.84y + 8.08z <= 932.24
-7.73x + -8.59y + -2.13z <= 784.09
-0.69x + -5.95y + 3.2z <= 322.32
2.38x + 5.89y + 6.39z <= 776.61
1.08x + -4.12y + -5.39z <= 747.52
3.98x + 1.25y + 1.61z <= 772.9
3.73x + 4.28y + 0.21z <= 964.18
-5.59x + 6.35y + 5.61z <= 430.34
-4.08x + 6.95y + 1.63z <= 728.57
7.15x + -9.88y + 0.69z <= 795.92
-4.69x + 6.41y + -1.48z <= 415.89
0.21x + -3.02y + 5.15z <= 218.03
3.36x + -6.35y + 4.64z <= 247.25
-0.54x + -1.43y + 1.61z <= 677.63
4.31x + 8.03y + -2.07z <= 142.81
-2.82x + 1.25y + 4.47z <= 728.5
-5.16x + -7.2y + -8.22z <= 775.42
-9.49x + 0.48y + -7.7z <= 407.88
5.02x + -4.05y + -8.82z <= 917.88
-6.77x + -2.85y + 0.42z <= 729.86
7.12x + -7.05y + -5.46z <= 234.31
-6.42x + -6.4y + 8.64z <= 939.23
4.54x + -6.42y + -5.99z <= 614.7
5.25x + -8.98y + -9.1z <= 597.82
-8.84x + -7.06y + 0.91z <= 121.35
7.95x + 1.29y + -3.46z <= 941.36
-7.28x + -2.1y + 3.35z <= 121.83
6.78x + -9.16y + 2.05z <= 876.23
-2.2x + -8.71y + -6.8z <= 834.46
-0.09x + -3.37y + -3.38z <= 979.89
4.33x + -1.08y + 1.71z <= 170.85
7.47x + -7.75y + 1.86z <= 479.96
2.64x + -5.87y + 1.85z <= 333.4
-7.5x + -6.86y + -6.18z <= 826.72
-8.41x + 7.33y + 1.52z <= 846.08
2.59x + 8.49y + -8.15z <= 345.37
-4.64x + 1.94y + 2.88z <= 935.46
2.91x + 9.46y + 0.66z <= 334.34
-3.04x + -3.85y + -1.25z <= 822.3
8.97x + -8.17y + 5.78z <= 506.36
4.65x + -6.19y + -6.63z <= 702.79
7.09x + 0.38y + 7.82z <= 386.01
5.55x + -5.83y + -3.76z <= 715.29
-8.56x + -6.01y + 5.4z <= 119.81
5.41x + 8.87y + -7.79z <= 992.33
-8.62x + 1.75y + 4.25z <= 194.9
3.44x + -5.12y + -9.24z <= 360.08
-4.48x + 9.9y + 0.97z <= 155.43
-5.19x + -3.67y + 1.88z <= 671.28
-0.66x + 8.79y + -4.58z <= 519.16
0.74x + -8.16y + 6.14z <= 838.32
-7.98x + -5.91y + 5.16z <= 379.78
5.3x + -2.07y + -2.05z <= 818.15
9.99x + 3.22y + 5.08z <= 895.19
-2.19x + 4.77y + -7.9z <= 947.01
-9.93x + -6.74y + 8.6z <= 977.61
-5.43x + -0.87y + 2.75z <= 387.12
6.53x + 3.36y + 5.56z <= 279.7
2.91x + 1.1y + -7.55z <= 273.6
5.39x + 7.26y + -0.55z <= 503.5
-9.98x + -9.63y + 7.1z <= 736.58
9.76x + -3.44y + 6.25z <= 299.85
2.83x + 0.96y + 5.46z <= 889.48
-7.15x + -4.4y + 8.06z <= 136.34
1.08x + 2.24y + -7.66z <= 638.53
-5.2x + 5.82y + -9.85z <= 751.12
3.89x + -2.4y + -0.32z <= 847.43
8.52x + 7.34y + -3.9z <= 407.86
5.07x + -7.66y + 5.91z <= 229.51
0.55x + -3.55y + 4.38z <= 934.69
4.44x + -3.15y + -8.01z <= 570.09
8.61x + -5.03y + 7.45z <= 181.61
-1.35x + -1.53y + 1.78z <= 384.95
-2.39x + 2.75y + 0.84z <= 953.67
1.84x + -7.79y + 7.21z <= 403.37
4.37x + -8.36y + -1.71z <= 390.22
-5.14x + 0.16y + 4.04z <= 751.93
2.42x + -0.32y + -3.75z <= 569.05
3.36x + 8.53y + 7.07z <= 120.64
-4.98x + 2.03y + -8.57z <= 665.09
-0.25x + 5.64y + -7.06z <= 424.89
-5.15x + 8.28y + -9.43z <= 251.59
-2.87x + -0.25y + 6.68z <= 131.96
-9.33x + 8.61y + 5.57z <= 321.78
-9.42x + -5.66y + -1.17z <= 308.55
7.14x + 5.82y + 4.34z <= 789.79
-8.06x + -1.37y + -7.01z <= 779.58
9.92x + -3.07y + 4.51z <= 119.22
3.78x + -0.41y + 8.67z <= 951.7
2.28x + 3.01y + 5.89z <= 205.22
1.66x + 9.15y + -2.07z <= 430.03
2.74x + 0.68y + 8.06z <= 671.39
-2.06x + 7.44y + -6.93z <= 416.97
-0.26x + 2.18y + -5.09z <= 179.77
-5.46x + -0.19y + 2.48z <= 282.64
-1.11x + -0.99y + -9.65z <= 785.47
5.59x + 2.24y + -5.03z <= 536.57
5.95x + 2.26y + 2.94z <= 507.05
-7.74x + -1.55y + -7.68z <= 958.97
1.29x + 5.07y + 4.57z <= 866.55
-2.52x + 5.21y + -8.8z <= 901.95
-5.36x + 6.67y + -8.21z <= 163.06
8.21x + -2.7y + -1.64z <= 333.26
-2.75x + 3.1y + 8.18z <= 668.66
-7.75x + 7.76y + -6.24z <= 387.03
-2.33x + -2.28y + -1.06z <= 741.07
9.45x + -4.29y + -3.56z <= 192.94
6.51x + 2.69y + -3.48z <= 920.02
3.44x + 5.89y + 1.55z <= 556.74
-7.91x + 5.31y + 2.54z <= 336.45
7.89x + -4.68y + 8.82z <= 872.84
9.7x + 7.93y + -2.36z <= 834.7
2.95x + -8.72y + 1.26z <= 334.39
-8.13x + 6.17y + -7.86z <= 160.85
5.95x + -6.06y + -3.03z <= 341.27
8.57x + -7.68y + -6.38z <= 771.95
2.02x + -9.77y + 9.37z <= 448.89
-9.09x + -8.5y + -5.42z <= 603.5
9.93x + -0.16y + 3.91z <= 672.99
6.6x + -2.84y + 0.82z <= 788.93
-3.76x + 0.95y + -5.23z <= 195.33
7.01x + -8.35y + -5.65z <= 731.6
1.75x + -2.76y + -0.25z <= 686.93
-2.46x + -9.96y + -7.38z <= 328.47
-9.04x + -8.59y + -8.62z <= 696.88
