max -3.89x + 5.62y + 2.47z
9.91x + -8.93y + 9.55z <= 269.69
-4.09x + 6.91y + -2.63z <= 459.58
-9.08x + 5.39y + -5.84z <= 985.07
4.13x + 3.31y + 0.16z <= 252.04
-9.91x + 9.76y + -4.05z <= 939.46
0.33x + -8.48y + -6.39z <= 276.99
-9.97x + 7.23y + 4.53z <= 917.5
0.7x + 8.02y + 7.0z <= 462.89
7.88x + -0.44y + -9.45z <= 797.88
-3.94x + 2.91y + -8.08z <= 938.66
-2.88x + -7.21y + 5.38z <= 395.74
-8.64x + -3.06y + 2.07z <= 623.34
-2.1x + -0.65y + -4.2z <= 107.39
-8.62x + 8.56y + 0.18z <= 261.56
7.41x + 3.42y + 9.2z <= 952.47
9.42x + -8.59y + 4.25z <= 491.38
8.37x + -9.72y + 1.48z <= 706.89
0.41x + 0.6y + 4.48z <= 446.41
6.94x + 0.71y + -0.93z <= 217.02
-7.62x + -2.46y + -4.6z <= 902.54
-3.37x + -4.32y + -3.68z <= 460.75
-4.01x + 1.66y + -6.52z <= 527.4
-1.26x + 0.41y + 5.87z <= 920.53
2.12x + -4.58y + 1.13z <= 766.71
2.07x + -6.16y + -5.31z <= 488.19
-7.16x + 0.89y + 9.84z <= 930.4
2.72x + -0.74y + 2.79z <= 575.27
5.52x + -1.68y + -5.62z <= 169.66
6.17x + -8.64y + 2.56z <= 948.19
3.85x + 9.77y + 0.33z <= 325.11
-7.49x + 5.91y + 8.76z <= 174.17
-3.01x + -3.91y + -5.09z <= 246.92
7.95x + -8.46y + -4.44z <= 896.71
-7.88x + -1.4y + -2.41z <= 375.15
4.02x + -6.2y + 8.33z <= 971.74
9.18x + 2.18y + -0.79z <= 317.71
-5.03x + 5.1y + 0.45z <= 212.9
-4.05x + -7.5y + 1.93z <= 137.94
5.53x + -6.54y + 9.81z <= 242.2
9.34x + 2.05y + 2.55z <= 856.61
1.3x + -3.87y + -2.69z <= 772.37
-4.94x + 3.65y + -7.32z <= 872.41
-0.95x + -5.67y + 3.64z <= 866.14
-3.73x + -4.15y + 2.47z <= 896.27
-7.96x + 7.64y + -6.84z <= 944.87
0.84x + -9.67y + 7.25z <= 399.13
7.93x + -9.51y + -4.23z <= 501.41
6.3x + 5.46y + 7.66z <= 118.83
9.5x + 7.62y + -9.66z <= 637.04
-6.66x + 4.54y + 2.28z <= 446.69
9.19x + -5.53y + -0.31z <= 999.66
-1.51x + -0.42y + 2.93z <= 737.47
0.71x + -7.17y + 5.22z <= 558.32
9.25x + -8.06y + 9.6z <= 981.85
0.35x + -8.27y + -2.67z <= 515.71
2.36x + -5.43y + 8.87z <= 633.0
5.78x + 8.16y + 4.6z <= 431.71
6.23x + -7.86y + -0.69z <= 876.23
-7.46x + 5.68y + 3.43z <= 299.29
-6.15x + -4.72y + -3.99z <= 109.89
-7.59x + 3.92y + -2.02z <= 202.51
5.05x + 9.56y + 8.8z <= 295.04
5.83x + -4.78y + -7.19z <= 235.83
-5.73x + -8.52y + 1.46z <= 997.85
-5.09x + 8.04y + -9.49z <= 458.13
-9.62x + 6.76y + -6.67z <= 942.98
0.09x + 0.1y + -7.9z <= 548.09
-1.73x + -0.27y + -8.22z <= 253.11
7.8x + -7.82y + -5.48z <= 121.2
2.45x + -5.57y + -7.14z <= 240.62
6.66x + -7.38y + -5.33z <= 777.2
2.82x + -0.39y + -0.17z <= 555.03
7.39x + 9.49y + -7.32z <= 955.32
4.76x + -1.25y + 6.73z <= 737.36
-7.68x + -3.48y + -2.84z <= 308.32
2.99x + 8.1y + -6.25z <= 706.48
1.99x + 7.49y + -3.55z <= 629.63
-5.73x + 5.69y + -0.59z <= 923.84
1.26x + -9.23y + -0.7z <= 175.03
4.91x + 7.78y + 3.62z <= 364.74
2.19x + -9.57y + -9.24z <= 592.43
-4.91x + -4.71y + 0.85z <= 666.96
3.58x + 0.55y + 7.36z <= 564.2
-9.28x + -9.52y + 1.25z <= 374.72
-8.34x + -7.42y + 9.56z <= 551.32
4.89x + 4.58y + -9.51z <= 509.46
7.8x + -5.59y + 1.93z <= 210.71
-7.29x + -6.99y + -7.72z <= 788.23
-8.23x + -5.37y + -3.57z <= 323.34
-1.07x + -7.77y + -4.49z <= 775.91
-9.66x + 0.31y + -6.7z <= 153.21
8.42x + 9.64y + 4.55z <= 167.01
-6.88x + 2.76y + -7.8z <= 921.39
2.81x + 4.48y + 8.79z <= 250.37
6.5x + -4.59y + 0.43z <= 474.18
6.59x + 2.0y + -2.53z <= 809.99
5.84x + -6.12y + -7.47z <= 847.04
-0.68x + -7.88y + 4.17z <= 888.25
-7.33x + 8.06y + 0.83z <= 482.95
8.85x + -1.68y + 1.36z <= 623.58
8.35x + 6.16y + 9.22z <= 527.2
-9.37x + 8.48y + -8.41z <= 562.06
-8.16x + -0.02y + 6.55z <= 118.38
-8.96x + -7.49y + -6.63z <= 362.54
-5.16x + 5.04y + -0.81z <= 873.05
1.24x + -7.5y + 9.66z <= 949.23
-5.81x + -4.9y + 2.37z <= 131.96
-3.35x + 5.41y + 2.05z <= 317.93
-1.9x + -8.39y + -0.49z <= 254.98
-6.86x + -3.13y + 1.85z <= 116.29
5.47x + 1.57y + 2.24z <= 568.69
2.35x + 3.42y + -2.81z <= 501.95
6.07x + -5.88y + 9.02z <= 134.03
-8.78x + 6.64y + -9.87z <= 506.55
-7.82x + -8.03y + 0.61z <= 842.87
