max 9.47x + 1.74y + -4.7z
4.23x + 6.89y + 2.47z <= 474.42
2.35x + -1.72y + 1.83z <= 722.26
4.89x + 1.95y + -8.77z <= 106.62
8.85x + -1.4y + 3.03z <= 101.86
-4.85x + 9.31y + 4.81z <= 852.52
-1.16x + 5.91y + 4.87z <= 864.05
-4.12x + 9.31y + -3.87z <= 414.64
-9.13x + 2.49y + -0.6z <= 279.08
1.06x + -1.47y + -0.29z <= 225.89
-9.48x + -0.02y + 9.64z <= 288.83
-8.35x + 0.48y + 4.19z <= 830.19
-4.68x + -6.38y + 5.61z <= 653.36
-0.54x + 6.27y + 3.39z <= 921.27
5.62x + 3.88y + 1.1z <= 394.22
-5.68x + -5.46y + 4.21z <= 574.22
-6.19x + -0.04y + -5.46z <= 182.38
-3.09x + 0.02y + -5.76z <= 455.27
3.14x + -2.92y + 8.12z <= 847.69
-0.1x + 6.6y + 3.17z <= 537.8
-7.73x + 9.58y + 0.36z <= 154.02
-4.19x + 5.29y + 8.16z <= 745.07
-8.22x + -3.32y + 5.04z <= 646.23
-2.35x + -7.5y + -1.9z <= 275.42
8.34x + 7.73y + 1.36z <= 228.34
-7.66x + 1.07y + -0.12z <= 426.19
-7.58x + -2.24y + 5.08z <= 525.38
1.72x + 1.14y + 1.12z <= 363.42
3.77x + -0.97y + 6.35z <= 166.21
6.56x + -1.24y + 1.37z <= 661.79
-6.52x + 7.63y + -5.93z <= 800.9
2.09x + -5.72y + -8.28z <= 486.77
-4.16x + 2.65y + 6.71z <= 497.23
-0.09x + -9.61y + 1.3z <= 764.46
-2.85x + 2.24y + -8.04z <= 805.23
-0.14x + -6.58y + 9.46z <= 516.97
8.64x + 4.96y + -3.09z <= 173.44
1.17x + -5.98y + -2.87z <= 979.17
-2.69x + 4.39y + -7.43z <= 645.77
6.12x + -0.2y + 5.81z <= 817.91
3.76x + -6.61y + 6.48z <= 574.63
5.46x + 3.33y + 1.61z <= 273.54
-0.66x + 5.89y + 6.48z <= 971.6
-8.13x + 2.87y + -8.56z <= 470.92
2.09x + -4.59y + 4.42z <= 300.97
-1.29x + -3.73y + 7.96z <= 223.34
-4.39x + -6.69y + -0.15z <= 185.78
1.47x + -3.12y + -5.61z <= 656.09
-2.68x + 1.19y + -7.57z <= 161.39
1.12x + -6.49y + 4.82z <= 265.84
-9.43x + -9.0y + -5.74z <= 202.93
-4.09x + -8.67y + 3.74z <= 606.32
9.79x + 6.22y + -9.76z <= 874.97
-9.68x + 4.35y + 8.36z <= 777.04
3.54x + -5.86y + -8.59z <= 847.67
-1.93x + -7.06y + -7.65z <= 135.53
4.1x + -3.71y + -0.26z <= 401.16
-7.02x + 0.08y + -4.56z <= 195.76
-9.08x + -8.19y + 4.09z <= 502.58
7.16x + -3.68y + -5.46z <= 113.3
0.94x + 9.03y + 2.92z <= 650.41
-1.32x + 7.95y + -5.38z <= 472.54
0.41x + 6.73y + -1.87z <= 829.99
3.32x + 0.54y + 0.14z <= 654.41
4.8x + -9.44y + 9.73z <= 671.93
-3.79x + 4.25y + 9.59z <= 856.57
-3.53x + 2.59y + 3.94z <= 225.38
-7.34x + -3.87y + 5.86z <= 323.52
0.96x + 7.23y + -4.41z <= 861.86
8.96x + 1.3y + 1.34z <= 109.3
-7.09x + 6.79y + -6.62z <= 630.43
7.25x + 6.98y + 1.17z <= 507.73
2.64x + 3.38y + 7.76z <= 706.97
6.22x + 5.67y + 4.48z <= 328.37
2.66x + -8.4y + 0.74z <= 282.04
-1.91x + 6.02y + 1.69z <= 819.61
0.28x + 8.06y + 8.07z <= 975.82
8.57x + -4.9y + 8.74z <= 252.66
-2.02x + 1.28y + -2.37z <= 583.39
6.56x + -2.51y + 7.68z <= 630.23
