max -6.2x + -9.19y + 2.76z
0.07x + -2.42y + 6.29z <= 537.47
-6.88x + 2.07y + 6.68z <= 795.64
6.62x + -2.67y + -8.45z <= 974.33
0.86x + -2.71y + -5.96z <= 468.74
-2.64x + -7.62y + -5.12z <= 986.8
-1.46x + -9.63y + -3.95z <= 125.51
-7.73x + -6.14y + -5.03z <= 478.75
-0.34x + -0.06y + -0.91z <= 526.33
-8.43x + -6.33y + -7.82z <= 517.04
-5.4x + 9.91y + -9.34z <= 387.73
-8.06x + -9.47y + 1.65z <= 381.62
2.35x + 4.81y + -8.88z <= 790.36
9.55x + 4.37y + 9.53z <= 943.22
-7.1x + 4.3y + 5.63z <= 613.77
-9.89x + -9.66y + -5.78z <= 327.43
2.56x + 5.91y + 1.12z <= 511.33
-9.41x + -3.82y + 4.05z <= 244.33
8.31x + -3.87y + 4.35z <= 636.36
-9.65x + -9.29y + 3.29z <= 791.89
-8.1x + -1.18y + 1.11z <= 554.57
-0.48x + -4.63y + -4.24z <= 310.84
-7.84x + 4.3y + 5.41z <= 905.13
2.04x + 3.55y + 6.75z <= 288.58
-1.76x + 1.89y + -3.23z <= 364.02
7.36x + 8.39y + 4.83z <= 962.02
-7.99x + 7.44y + -4.97z <= 214.34
3.32x + 3.26y + -3.98z <= 414.35
-5.73x + 6.36y + -3.92z <= 606.31
-3.38x + -7.24y + -9.92z <= 783.15
5.25x + 3.09y + 6.49z <= 131.13
-5.24x + -8.42y + 0.23z <= 235.26
-1.48x + 6.34y + 2.41z <= 332.99
6.88x + 9.93y + -0.02z <= 935.83
-0.75x + 0.01y + -8.21z <= 801.08
4.05x + 9.1y + 7.01z <= 647.49
-9.45x + -3.88y + -0.82z <= 976.44
1.52x + -0.82y + -5.43z <= 699.73
7.79x + 9.65y + -6.04z <= 775.39
3.68x + -7.9y + -7.11z <= 396.62
-8.77x + -7.71y + -3.32z <= 259.56
-5.37x + -2.81y + 9.61z <= 742.41
-0.92x + 0.16y + -4.17z <= 672.83
-6.98x + 7.93y + 7.21z <= 907.53
0.78x + 8.31y + -5.89z <= 956.67
-9.94x + -6.25y + 9.53z <= 233.84
-4.02x + 8.23y + -6.79z <= 359.08
3.78x + 3.09y + 9.96z <= 937.71
0.86x + -2.81y + 7.12z <= 818.64
5.44x + -8.77y + -2.68z <= 182.97
-1.02x + 7.13y + -0.5z <= 349.98
5.8x + 7.19y + 3.86z <= 695.84
-3.02x + -5.09y + 1.35z <= 610.17
1.3x + 7.0y + -2.08z <= 415.12
-5.19x + -6.57y + -5.95z <= 995.56
9.87x + 0.31y + 8.33z <= 765.15
-6.84x + 4.27y + -9.31z <= 207.19
2.8x + -3.33y + 8.57z <= 223.59
-9.57x + 8.03y + -4.79z <= 318.37
-7.92x + 9.37y + -5.56z <= 790.14
-2.41x + 3.2y + 5.77z <= 165.44
-0.89x + -0.86y + 3.82z <= 656.3
7.36x + 7.13y + -7.08z <= 907.7
-2.89x + -4.14y + 2.26z <= 658.39
9.0x + -0.41y + 7.58z <= 514.43
0.17x + -0.3y + 7.72z <= 475.71
-9.24x + 2.15y + -0.31z <= 263.41
-9.67x + -3.61y + 7.0z <= 323.71
1.7x + -4.41y + -3.15z <= 910.65
-8.81x + 9.94y + -4.8z <= 928.03
-6.05x + -8.17y + -7.18z <= 603.71
-1.81x + -0.55y + 2.91z <= 142.37
-0.4x + 5.42y + 0.92z <= 795.41
-4.04x + -2.67y + 8.82z <= 378.44
8.32x + -3.83y + -1.32z <= 727.45
5.77x + -8.3y + -2.82z <= 396.2
-3.98x + 0.02y + 9.16z <= 838.79
1.16x + -6.3y + 6.89z <= 838.12
0.78x + 8.28y + -2.16z <= 247.79
7.13x + -1.16y + -3.87z <= 100.51
-0.26x + -8.75y + -5.14z <= 974.84
-5.16x + 7.08y + -3.98z <= 657.84
5.78x + -6.19y + -8.99z <= 716.33
-6.97x + -4.41y + -3.1z <= 748.72
-5.76x + -0.02y + 1.52z <= 103.82
-1.58x + -0.58y + 2.36z <= 757.39
2.86x + 0.36y + 0.74z <= 295.08
6.33x + -9.16y + -5.69z <= 477.58
-6.72x + 4.95y + 6.01z <= 744.03
5.3x + -8.7y + -3.04z <= 276.29
5.63x + -9.2y + 1.71z <= 540.0
4.44x + 5.88y + -2.0z <= 529.07
-5.58x + -8.61y + -5.78z <= 412.83
-0.57x + 6.34y + -5.09z <= 850.28
