max 0.77x + -8.0y + 2.98z
-2.16x + -7.41y + 8.55z <= 971.23
-8.11x + -3.32y + -3.28z <= 385.07
8.39x + -6.78y + -8.43z <= 350.27
0.66x + 8.45y + 2.88z <= 597.88
-4.6x + 8.25y + 1.55z <= 370.45
5.8x + 3.32y + -0.74z <= 901.51
1.59x + -4.9y + -1.88z <= 188.77
5.22x + -5.02y + -4.73z <= 928.24
9.88x + -3.03y + -7.41z <= 988.07
-7.33x + 7.04y + -7.55z <= 935.68
7.49x + 7.03y + -7.26z <= 905.99
9.22x + 3.51y + 2.73z <= 919.38
6.4x + 5.65y + -9.06z <= 204.8
4.03x + -0.91y + -7.39z <= 493.14
-1.95x + -5.67y + -3.39z <= 983.78
4.73x + 3.79y + -4.23z <= 988.65
-3.24x + -4.1y + -7.31z <= 796.92
6.61x + 0.71y + -7.83z <= 481.25
1.06x + 3.72y + 9.91z <= 912.12
1.84x + 5.61y + 2.09z <= 458.02
-6.57x + 1.26y + -2.57z <= 523.69
-6.16x + 8.43y + -1.45z <= 712.88
6.94x + -7.54y + 9.0z <= 290.17
7.3x + 3.93y + 4.16z <= 711.2
3.59x + -4.12y + 6.22z <= 561.85
-8.55x + -9.42y + 9.66z <= 925.3
5.84x + 0.09y + -6.81z <= 356.91
1.02x + 2.16y + -1.91z <= 534.44
7.51x + 8.71y + 2.61z <= 291.45
-4.2x + -4.13y + 8.24z <= 493.01
-9.59x + 5.6y + 8.0z <= 744.59
-8.03x + 7.9y + 9.36z <= 617.39
-8.71x + -3.49y + -6.25z <= 300.44
4.65x + -2.96y + 8.82z <= 216.76
2.99x + -0.14y + 4.55z <= 230.64
7.76x + -9.73y + 6.45z <= 246.53
7.14x + 8.58y + -3.72z <= 305.35
-0.12x + 0.88y + -4.24z <= 850.12
-4.21x + 9.28y + -2.98z <= 399.68
-4.66x + 3.61y + -5.91z <= 945.79
-3.79x + -5.64y + 1.2z <= 363.0
5.63x + -4.93y + -0.48z <= 312.85
-6.3x + 3.03y + -2.84z <= 628.31
-3.82x + -3.01y + 2.56z <= 874.34
1.4x + -0.44y + -6.82z <= 414.37
-4.08x + 4.25y + 1.86z <= 867.64
-6.81x + 6.64y + 6.17z <= 380.46
-9.51x + -5.75y + -8.19z <= 928.4
7.87x + -2.83y + -0.66z <= 564.03
-8.3x + 1.76y + 7.29z <= 992.52
0.06x + 4.75y + 3.96z <= 543.35
1.66x + -4.6y + 5.37z <= 334.96
2.96x + 2.09y + -2.1z <= 523.74
-4.18x + -0.81y + 7.48z <= 701.81
-0.77x + -2.09y + -1.59z <= 803.75
3.77x + 9.69y + 3.86z <= 621.31
9.1x + 8.83y + -2.81z <= 502.12
3.71x + -4.97y + -7.92z <= 408.53
1.44x + -8.31y + -6.57z <= 589.16
-1.52x + -0.47y + 4.24z <= 999.38
0.27x + -7.29y + -0.51z <= 168.85
5.12x + 2.14y + -3.47z <= 781.94
-0.26x + 8.3y + -6.87z <= 623.24
-8.36x + -6.49y + 9.0z <= 192.0
-3.72x + -9.73y + -1.63z <= 906.75
3.25x + 6.53y + -5.7z <= 338.05
-0.25x + 7.76y + -1.0z <= 703.6
1.96x + 4.36y + 4.7z <= 549.26
-8.22x + 5.19y + 2.15z <= 959.48
-0.51x + 5.83y + 3.31z <= 781.86
1.3x + 6.54y + 7.92z <= 120.86
-0.97x + -2.57y + 0.78z <= 403.91
0.71x + -7.05y + -3.56z <= 170.84
-6.61x + 3.15y + -9.68z <= 464.92
-2.05x + -2.21y + -2.19z <= 833.08
-4.78x + 8.73y + -1.5z <= 678.87
6.29x + -6.21y + -4.02z <= 184.25
-7.61x + -4.23y + 7.99z <= 980.86
6.3x + -1.7y + -5.33z <= 293.87
6.09x + -9.07y + 7.73z <= 167.18
-2.37x + -8.32y + 2.5z <= 904.0
8.73x + 1.53y + 5.42z <= 783.47
-9.27x + -3.35y + -4.25z <= 497.64
0.22x + 6.22y + -9.64z <= 352.46
-5.23x + 3.28y + 8.32z <= 419.41
-6.64x + -0.81y + 7.03z <= 907.25
-1.67x + -1.28y + -4.96z <= 864.08
2.71x + -1.47y + 4.93z <= 429.81
-6.61x + -4.87y + 4.72z <= 371.24
-0.81x + 3.31y + -4.68z <= 304.22
-8.92x + -1.44y + 8.25z <= 681.16
-2.27x + 8.91y + 6.65z <= 448.72
0.78x + 5.43y + -0.84z <= 102.64
1.05x + 0.7y + 8.08z <= 487.77
-9.78x + -0.83y + 4.57z <= 293.33
3.23x + 4.24y + 7.36z <= 943.13
5.65x + -0.26y + 6.56z <= 945.73
-7.42x + -8.27y + 1.72z <= 523.79
-0.1x + 7.47y + 1.2z <= 322.11
-1.48x + 1.76y + -9.11z <= 562.83
-0.11x + -9.33y + 1.13z <= 455.2
7.46x + 9.89y + 5.18z <= 626.77
-6.57x + -6.95y + 8.51z <= 299.31
0.83x + -3.74y + 9.56z <= 252.25
-7.5x + -9.64y + 8.69z <= 469.69
-3.1x + 8.29y + -9.65z <= 473.25
-8.25x + -2.91y + 7.91z <= 509.9
-2.66x + -5.68y + 1.81z <= 182.77
3.76x + -7.74y + 3.3z <= 790.53
0.67x + 0.29y + 3.83z <= 590.19
5.19x + -3.72y + 2.56z <= 534.45
6.37x + -3.6y + 4.56z <= 369.71
4.4x + -0.66y + 5.29z <= 515.23
8.5x + 5.76y + 5.29z <= 990.78
3.62x + 7.42y + 7.54z <= 486.55
3.92x + -8.98y + 3.61z <= 233.8
2.15x + -2.44y + 2.37z <= 778.59
-3.47x + 2.62y + 1.39z <= 882.61
-8.6x + 2.12y + 2.97z <= 711.85
0.5x + -3.91y + 7.07z <= 833.58
1.13x + 1.02y + 6.49z <= 904.64
5.1x + 5.89y + -7.91z <= 280.3
3.62x + 2.96y + -6.24z <= 720.74
9.35x + -4.49y + 9.18z <= 538.98
-6.06x + -7.44y + -0.24z <= 565.04
7.2x + 1.72y + -4.21z <= 577.94
6.01x + -1.78y + -8.33z <= 363.25
8.98x + -9.4y + -8.12z <= 275.38
-0.9x + 6.81y + 1.0z <= 597.83
