max 7.72x + -4.04y + 3.37z
3.66x + 2.8y + -9.37z <= 655.15
-6.5x + -0.33y + -2.44z <= 902.88
1.23x + -3.36y + 9.33z <= 967.1
0.85x + 7.58y + -9.76z <= 733.42
-1.86x + 3.73y + 8.72z <= 304.47
-3.17x + 8.63y + 9.03z <= 706.34
-6.61x + -0.11y + -4.47z <= 861.8
4.05x + 3.64y + -2.42z <= 266.0
-1.95x + -2.1y + 9.53z <= 799.29
-2.02x + 3.8y + -4.95z <= 827.82
-3.95x + 8.38y + -8.97z <= 702.12
-0.24x + 7.79y + 9.24z <= 695.63
-7.93x + -9.59y + 3.62z <= 339.66
1.87x + 0.36y + 8.68z <= 262.07
-4.81x + -4.44y + 6.51z <= 655.36
6.93x + 7.34y + -7.46z <= 162.66
3.61x + 9.17y + 6.37z <= 227.52
-1.93x + -6.38y + -7.7z <= 211.58
-2.05x + 1.5y + -5.04z <= 168.59
-8.0x + -0.47y + 1.65z <= 470.86
-0.28x + 2.05y + 0.04z <= 219.19
-3.92x + 7.82y + 3.83z <= 836.32
-8.71x + 7.5y + 1.34z <= 344.26
3.06x + -9.83y + -6.36z <= 965.67
-1.27x + 1.41y + -9.64z <= 524.61
7.87x + 9.27y + -7.49z <= 113.86
0.9x + -4.05y + 4.35z <= 806.03
-2.2x + 8.76y + -3.04z <= 670.49
-7.72x + 9.0y + 3.5z <= 646.87
-9.57x + -3.03y + 9.55z <= 323.01
9.85x + 0.71y + 0.06z <= 331.65
6.11x + 4.02y + -4.59z <= 528.81
8.95x + -6.07y + 2.63z <= 671.37
-8.22x + 8.55y + -0.56z <= 737.06
9.11x + 9.1y + -4.85z <= 742.16
-9.17x + -1.74y + -8.01z <= 926.59
6.09x + -2.93y + -7.71z <= 176.59
0.78x + 8.43y + -1.39z <= 592.97
-1.73x + 6.7y + 8.41z <= 911.69
4.14x + 4.3y + -4.75z <= 145.87
-4.5x + -9.83y + 4.63z <= 428.09
-8.43x + 1.33y + 6.38z <= 275.46
-2.93x + -4.31y + 0.14z <= 385.29
-0.25x + -3.27y + 7.45z <= 937.07
-1.25x + -1.96y + -6.54z <= 844.71
8.9x + 3.09y + 8.21z <= 462.3
-7.82x + -9.96y + -5.32z <= 317.7
-2.58x + 4.02y + -9.05z <= 464.17
5.67x + 0.55y + 1.67z <= 951.47
-7.39x + -0.67y + 6.34z <= 277.6
-3.03x + 1.73y + 6.24z <= 681.05
9.88x + -4.27y + 3.35z <= 137.87
7.07x + -6.17y + 3.5z <= 438.65
1.96x + 7.17y + 4.35z <= 145.84
-9.92x + -5.62y + -3.15z <= 643.43
0.94x + 8.96y + 7.28z <= 669.9
-8.12x + -7.96y + 1.78z <= 784.66
9.79x + 1.59y + 4.73z <= 367.23
1.95x + -6.91y + 0.75z <= 945.17
7.92x + 2.14y + -3.48z <= 783.1
0.68x + 2.0y + -9.43z <= 948.07
5.98x + -2.24y + 1.54z <= 785.22
-3.06x + -7.75y + 8.99z <= 900.39
-9.09x + -7.09y + -4.49z <= 850.39
7.18x + 3.07y + 6.17z <= 764.16
-1.41x + -0.92y + -8.64z <= 723.43
-2.99x + 0.1y + -2.12z <= 518.74
-8.28x + 0.13y + -6.97z <= 798.82
4.83x + 9.23y + -6.44z <= 368.75
-8.27x + -4.06y + -3.05z <= 718.02
4.18x + -0.95y + -9.04z <= 701.75
-2.6x + 4.58y + 0.5z <= 938.72
4.31x + -7.2y + 2.65z <= 880.34
8.54x + -6.58y + -5.6z <= 485.69
8.39x + -2.87y + -8.93z <= 914.27
6.09x + -7.06y + 2.05z <= 588.4
-8.68x + 8.57y + -5.45z <= 549.46
0.24x + -7.68y + 1.64z <= 671.51
-6.74x + -6.17y + -3.74z <= 228.26
8.0x + 1.98y + -3.47z <= 637.45
-3.79x + -9.72y + 2.17z <= 366.9
1.49x + 2.1y + 0.13z <= 790.42
1.43x + -6.95y + -1.0z <= 468.08
-0.39x + 4.65y + -4.99z <= 435.17
-2.31x + 1.98y + -8.88z <= 954.36
