max 5.36x + 8.96y + 6.0z
-2.73x + 4.21y + 6.72z <= 400.98
6.61x + 2.17y + 0.01z <= 119.6
7.86x + -2.27y + -8.63z <= 208.49
1.65x + 0.06y + -5.15z <= 585.55
-2.83x + 5.66y + -2.38z <= 195.34
-7.63x + -2.03y + -3.62z <= 896.15
-3.95x + -4.89y + 2.93z <= 663.52
6.5x + -5.0y + 3.9z <= 107.55
-8.95x + -3.0y + 7.58z <= 408.02
4.92x + 1.26y + 8.47z <= 910.15
-8.43x + 4.61y + -0.95z <= 506.85
-1.98x + -1.61y + 8.66z <= 928.08
5.3x + 1.57y + 0.12z <= 942.43
9.14x + -2.58y + -9.96z <= 118.8
-1.34x + -1.54y + -6.59z <= 747.28
-8.35x + 4.53y + -1.57z <= 803.12
-4.84x + 9.4y + 4.3z <= 598.03
-0.26x + -3.75y + 3.25z <= 656.89
0.89x + 0.9y + 2.59z <= 390.55
-9.03x + -2.51y + 7.76z <= 908.18
-7.19x + 7.45y + -6.52z <= 657.11
5.39x + 3.07y + 0.59z <= 329.6
-7.1x + -8.76y + -6.66z <= 885.11
-3.93x + 4.94y + 2.57z <= 237.06
-1.51x + 0.51y + -3.73z <= 838.03
2.65x + 3.13y + 8.27z <= 469.36
-2.36x + 7.53y + -8.75z <= 753.06
-4.56x + -6.6y + -6.17z <= 780.64
7.67x + 8.73y + 4.85z <= 152.82
7.0x + 5.88y + 7.43z <= 453.1
-7.28x + -9.67y + -2.43z <= 870.77
-5.97x + 1.26y + 9.55z <= 546.45
-1.96x + -5.09y + -2.98z <= 720.74
-5.66x + -0.82y + 9.98z <= 134.78
8.98x + 6.92y + 4.3z <= 415.6
1.09x + 5.55y + 9.2z <= 527.88
0.8x + 8.86y + -2.12z <= 969.8
-4.96x + 3.43y + 5.05z <= 140.04
-6.9x + 3.54y + 9.83z <= 129.12
3.38x + 5.86y + -0.29z <= 366.71
-3.95x + 1.01y + 1.02z <= 739.61
4.98x + 1.17y + 0.85z <= 956.0
-0.85x + 3.76y + -0.68z <= 762.24
-7.26x + -0.77y + -2.71z <= 417.3
7.96x + -7.67y + -2.55z <= 964.28
-2.98x + -5.82y + -0.94z <= 706.11
-4.02x + -4.77y + 3.12z <= 641.17
0.19x + -7.51y + 1.58z <= 724.44
-6.36x + -4.87y + -0.54z <= 219.77
-6.05x + -6.85y + 3.94z <= 935.72
-1.99x + -5.4y + -5.08z <= 303.18
-9.15x + 0.41y + 0.42z <= 742.52
2.29x + -8.26y + -3.23z <= 994.3
-5.39x + -5.54y + 2.43z <= 496.4
7.45x + 8.93y + 3.58z <= 340.26
3.74x + 6.6y + 0.13z <= 201.34
1.73x + -5.77y + -1.08z <= 644.05
4.8x + -5.09y + -7.55z <= 675.11
-8.69x + 1.6y + -4.24z <= 444.47
-1.26x + -9.44y + -6.19z <= 946.44
9.45x + 6.97y + -0.23z <= 620.15
2.54x + 7.05y + 6.03z <= 443.72
2.77x + -9.55y + 8.0z <= 897.28
