max 4.55x + -7.4y + -9.62z
4.08x + 9.19y + -4.22z <= 182.88
0.25x + -3.02y + -9.66z <= 825.18
3.2x + -4.25y + -2.93z <= 303.58
-0.57x + 4.35y + 0.2z <= 799.44
-5.22x + 7.91y + 7.85z <= 159.54
-1.07x + 7.22y + -2.72z <= 205.97
5.72x + 7.84y + -1.5z <= 535.51
-2.36x + 8.52y + 2.73z <= 835.62
8.13x + -7.06y + 0.11z <= 709.26
5.5x + -0.7y + 9.32z <= 362.08
-8.82x + -0.23y + 4.61z <= 384.55
3.31x + -3.26y + -2.01z <= 584.12
-9.67x + -0.33y + 2.72z <= 384.84
7.86x + -8.23y + -6.08z <= 693.01
2.45x + 2.49y + 0.23z <= 579.59
-0.91x + -3.08y + -1.16z <= 729.92
-0.07x + -7.48y + -4.81z <= 403.43
6.43x + -2.57y + 7.7z <= 638.1
8.3x + -8.72y + 0.3z <= 848.19
-4.46x + 8.89y + -0.58z <= 694.14
3.04x + 4.09y + 7.22z <= 147.04
5.82x + 2.3y + 3.81z <= 689.87
5.91x + 3.47y + 8.96z <= 987.59
4.68x + -2.17y + 9.2z <= 429.03
2.22x + 8.29y + -0.7z <= 792.86
7.05x + 6.57y + 0.98z <= 514.83
-4.21x + -2.37y + -2.1z <= 708.93
-8.98x + -8.98y + 0.92z <= 139.18
6.27x + -9.82y + -0.3z <= 195.19
0.35x + -3.33y + -3.42z <= 148.4
2.45x + 0.62y + -6.4z <= 242.27
-7.91x + -7.54y + 8.94z <= 194.8
4.55x + 1.63y + 7.56z <= 389.65
1.57x + 9.15y + -7.22z <= 192.11
2.4x + -2.41y + -4.27z <= 976.9
-9.4x + 4.96y + -7.4z <= 431.84
7.79x + -1.58y + -5.23z <= 344.29
-6.33x + 5.62y + 6.95z <= 898.81
-4.95x + -7.97y + 6.88z <= 315.69
2.54x + 9.74y + -5.58z <= 529.85
-7.22x + -4.95y + 8.65z <= 369.65
-8.07x + -1.48y + 2.64z <= 406.96
-5.05x + -1.26y + 3.04z <= 846.24
-5.39x + -6.23y + 5.65z <= 921.8
-4.83x + 7.8y + 2.05z <= 385.7
4.34x + -2.2y + 6.49z <= 194.73
-4.21x + 2.57y + 7.53z <= 592.41
0.29x + -9.47y + 6.24z <= 670.73
-6.35x + -8.93y + -6.56z <= 802.58
-0.56x + 9.73y + -4.87z <= 846.76
-3.24x + 8.31y + -9.08z <= 899.02
6.58x + 9.76y + -4.63z <= 541.08
-3.04x + 1.3y + -5.02z <= 620.98
-0.05x + -9.95y + -0.46z <= 268.26
-2.9x + 1.35y + 4.42z <= 957.03
0.55x + -8.52y + -1.9z <= 342.41
5.07x + -7.83y + -4.39z <= 441.97
8.6x + 3.54y + 0.62z <= 181.23
4.2x + 10.0y + 6.02z <= 124.88
-0.31x + 1.6y + -3.24z <= 155.26
5.15x + -4.56y + 0.33z <= 931.0
-0.62x + 6.46y + 7.4z <= 864.31
6.1x + 6.99y + 4.41z <= 843.25
-1.18x + -7.58y + 2.74z <= 442.53
0.27x + -0.92y + -4.41z <= 312.6
-4.98x + 7.76y + 5.96z <= 611.47
-4.89x + 0.41y + -8.76z <= 954.24
9.98x + -0.83y + 2.74z <= 723.09
-9.14x + -1.29y + -5.51z <= 527.57
-4.74x + -5.84y + 1.06z <= 737.85
9.66x + 5.53y + 3.68z <= 200.75
6.58x + -3.98y + -4.46z <= 911.28
3.16x + -6.19y + -3.47z <= 396.82
-1.3x + 5.91y + 5.07z <= 778.59
-4.89x + 9.71y + 4.86z <= 504.45
5.73x + 2.85y + -4.45z <= 748.42
-6.66x + -4.85y + 5.74z <= 453.8
-8.38x + -7.8y + 8.17z <= 619.59
9.66x + 1.06y + -1.58z <= 391.79
-3.99x + 4.53y + -5.94z <= 500.9
-5.73x + -2.88y + 1.28z <= 293.46
-1.41x + 3.31y + -7.47z <= 799.1
8.89x + -6.99y + 2.1z <= 283.2
-5.4x + -9.88y + 8.89z <= 517.04
9.89x + 9.85y + -6.06z <= 361.51
0.05x + 7.62y + -5.08z <= 202.22
-0.64x + 0.06y + 0.57z <= 219.49
-8.7x + -2.24y + -5.7z <= 493.68
-7.64x + 7.6y + 7.99z <= 319.1
-3.58x + -3.24y + -2.41z <= 607.01
2.66x + 5.3y + -4.16z <= 114.2
-5.03x + -1.07y + -0.86z <= 375.65
2.47x + 3.91y + -7.55z <= 820.53
6.87x + -9.96y + -2.0z <= 773.51
-6.11x + -8.88y + 0.7z <= 492.48
-7.96x + -6.91y + 3.46z <= 849.88
-3.04x + -7.99y + 9.63z <= 343.88
0.8x + -0.81y + -7.74z <= 714.3
-3.95x + 4.37y + 3.36z <= 350.13
8.03x + -1.85y + 2.12z <= 210.12
-6.63x + 7.6y + -0.43z <= 357.69
0.41x + -7.18y + -7.05z <= 180.81
2.17x + 0.3y + 7.62z <= 880.66
-6.32x + 5.59y + 9.32z <= 837.34
-5.66x + -1.94y + -7.96z <= 757.81
-8.57x + -4.27y + -6.13z <= 511.6
-6.25x + -4.22y + 3.94z <= 839.32
-2.41x + 7.0y + 7.82z <= 338.21
-8.08x + -6.39y + 4.34z <= 222.51
-0.6x + 7.97y + -8.32z <= 586.55
-3.42x + -4.33y + -5.92z <= 227.17
-4.95x + 8.86y + -4.45z <= 688.3
-3.11x + -1.57y + 5.14z <= 352.97
-8.26x + -2.77y + 1.92z <= 315.03
-4.84x + 1.96y + -3.21z <= 127.13
5.93x + 1.05y + -4.31z <= 468.22
8.71x + -6.17y + -0.03z <= 566.31
-5.23x + 1.18y + -5.55z <= 794.36
-9.66x + 9.73y + 9.6z <= 216.76
3.14x + 1.14y + 9.3z <= 929.7
6.01x + -4.99y + -2.34z <= 710.04
-2.98x + -2.66y + 6.39z <= 109.62
-0.73x + -0.84y + 1.72z <= 707.81
5.74x + -8.95y + -8.45z <= 789.92
-1.67x + -8.76y + 2.46z <= 223.5
-9.39x + 8.92y + -5.11z <= 728.35
-2.8x + -2.65y + 7.22z <= 739.33
-6.88x + 5.84y + 9.15z <= 681.46
1.19x + -8.4y + 4.69z <= 719.39
-4.08x + -1.68y + -3.94z <= 433.9
-8.86x + 5.16y + -4.33z <= 514.32
-3.02x + 2.94y + 0.97z <= 244.3
1.26x + 5.26y + 8.13z <= 614.7
1.19x + 7.26y + 8.18z <= 477.05
5.84x + 3.44y + 3.69z <= 951.74
0.97x + 1.38y + -2.59z <= 941.36
-7.76x + 6.28y + -4.44z <= 531.37
-9.05x + 0.19y + -7.07z <= 883.41
-8.46x + -1.29y + 0.63z <= 721.72
-1.0x + -8.08y + 5.87z <= 717.42
-9.15x + 2.71y + 7.11z <= 495.52
3.46x + -7.19y + -6.21z <= 306.85
-9.71x + -6.57y + -4.73z <= 701.67
-9.27x + -3.97y + 5.04z <= 130.23
-6.77x + -8.37y + 1.51z <= 753.36
2.39x + 3.89y + 7.21z <= 600.61
-0.48x + -3.58y + -8.49z <= 107.3
4.15x + -4.88y + -0.71z <= 447.88
5.49x + 1.89y + 8.92z <= 529.25
-1.27x + -4.73y + 6.96z <= 544.02
8.15x + -3.67y + 1.62z <= 690.36
3.26x + -1.85y + 5.87z <= 454.82
-7.21x + -3.86y + 1.48z <= 352.44
-3.6x + 6.45y + 9.52z <= 445.37
-8.15x + 9.6y + 1.31z <= 274.59
-6.0x + 3.82y + 1.53z <= 488.36
4.15x + -9.95y + -1.89z <= 577.26
4.91x + -4.18y + 2.08z <= 847.56
-3.66x + 3.98y + 4.37z <= 476.08
-9.62x + -3.89y + 5.14z <= 880.1
-8.6x + 5.34y + 8.09z <= 823.11
4.84x + 9.25y + -6.69z <= 989.73
8.15x + -4.67y + -5.74z <= 950.22
-9.43x + 3.99y + 1.09z <= 934.01
-1.5x + 4.55y + -1.8z <= 380.75
6.79x + 0.43y + -0.71z <= 257.85
0.38x + 8.74y + -3.06z <= 804.78
-3.1x + -8.4y + 0.39z <= 266.23
8.82x + -5.53y + -4.82z <= 364.83
8.77x + -5.53y + -6.47z <= 122.31
-6.37x + -3.57y + 7.96z <= 634.44
