#convex solver has no solution but os tool has
# convex result: None os tool result: (6.81555,11.87268)
max 1x + 2y
-3.7882x + 8.6251y <= 665
2.1616x + 8.2195y <= 129
0.0265x + 7.0713y <= 889
6.812x + -2.1904y <= 604
-1.4871x + 1.4003y <= 957
5.6991x + -5.1519y <= 842
-1.4426x + 4.0861y <= 221
-6.6344x + 9.8741y <= 363
-4.1171x + -2.262y <= 675
7.8929x + -8.839y <= 974
-6.0006x + -4.9255y <= 702
7.196x + 5.75y <= 387
2.4859x + 6.9187y <= 321
-0.3876x + 2.6436y <= 722
0.1888x + 2.488y <= 975
6.2068x + 8.657y <= 288
9.5577x + 0.2012y <= 256
-6.1132x + -6.7268y <= 942
-3.7908x + -2.321y <= 354
0.8036x + -2.5758y <= 321
3.0693x + -1.6043y <= 708
-1.0635x + 0.2985y <= 784
8.5723x + -1.4781y <= 930
7.6751x + -5.2191y <= 935
-4.0104x + 5.4144y <= 191
4.0249x + 9.7462y <= 447
5.8825x + 5.4558y <= 871
1.3562x + 4.5246y <= 100
-1.5745x + -8.6786y <= 735
9.2212x + 0.8044y <= 959
6.5903x + 0.2778y <= 497
-7.0143x + -7.0496y <= 286
-9.1502x + 3.1717y <= 219
5.5878x + 6.7078y <= 499
6.3996x + -0.566y <= 883
5.9415x + 6.7353y <= 199
3.8622x + -9.7716y <= 438
-0.1342x + -7.5682y <= 825
3.7505x + 9.7285y <= 787
2.5149x + 8.7983y <= 884
-8.7907x + 7.8181y <= 164
1.8841x + -3.6239y <= 164
6.8654x + 1.7128y <= 948
-9.0888x + 4.147y <= 940
0.088x + -6.5672y <= 667
-1.2504x + 9.5655y <= 713
-6.4904x + -5.6358y <= 374
0.6056x + 3.525y <= 955
2.7623x + -9.437y <= 567
-8.1316x + -4.5664y <= 369
7.4733x + -1.808y <= 669
3.0802x + -7.0828y <= 147
-3.4671x + 1.7442y <= 738
-6.5554x + -1.6548y <= 487
3.4362x + 4.7816y <= 984
-9.1284x + -1.3152y <= 682
4.6607x + -4.1735y <= 779
-0.8066x + 0.1983y <= 954
6.7057x + 4.9923y <= 844
-9.364x + -9.8927y <= 238
3.8093x + 2.8245y <= 129
1.5661x + -6.3855y <= 470
7.2597x + 9.7823y <= 530
9.1067x + 8.735y <= 682
5.7786x + 7.0441y <= 628
3.5235x + -0.9325y <= 408
8.0749x + 2.2278y <= 238
9.8269x + 5.5291y <= 815
7.2247x + 7.1434y <= 877
-1.3909x + 9.2768y <= 585
-1.4031x + -3.9936y <= 970
5.6026x + -4.2015y <= 260
-3.2764x + 0.9788y <= 915
0.8177x + 6.4474y <= 745
-9.5458x + -0.2328y <= 562
9.1651x + 1.2372y <= 224
0.3895x + 9.7682y <= 817
3.2623x + 7.7865y <= 930
-9.8765x + 5.8049y <= 135
-6.5734x + -9.7507y <= 665
-2.9382x + -9.1992y <= 166
-5.6576x + -4.8468y <= 418
-1.8717x + -3.6738y <= 491
3.3549x + -2.7625y <= 549
-2.0179x + -8.0824y <= 212
-1.4205x + -4.614y <= 962
-4.7999x + -5.0613y <= 930
-6.6774x + -2.3283y <= 673
-7.4055x + 3.5115y <= 940
-3.843x + 7.6294y <= 464
3.9327x + -5.8889y <= 250
-3.1286x + -8.5866y <= 849
5.7963x + 8.499y <= 408
-4.0326x + -6.5195y <= 772
-1.3613x + -9.5787y <= 666
-0.2513x + 8.8887y <= 739
2.3903x + -1.5723y <= 587
-1.7335x + -7.8773y <= 692
4.2828x + 3.707y <= 577
2.3577x + 3.8952y <= 996
4.3322x + -9.1633y <= 514
-7.7432x + -8.3721y <= 211
-1.8586x + 0.163y <= 680
-2.1542x + -2.944y <= 475
6.1876x + 2.6058y <= 810
3.447x + 2.4748y <= 863
-2.4555x + -3.7604y <= 742
3.6276x + 6.6477y <= 771
2.4365x + -3.1243y <= 401
-8.1655x + -9.7627y <= 429
-3.1484x + -4.7391y <= 516
-1.23x + -1.0598y <= 252
7.2821x + -6.0512y <= 466
-9.1004x + -8.74y <= 782
-6.4726x + -1.3387y <= 116
-8.1016x + 7.0735y <= 577
3.6927x + -2.4716y <= 445
9.0363x + -5.3545y <= 291
1.7721x + 5.7641y <= 764
9.4052x + 2.4432y <= 405
-4.5638x + 1.6155y <= 986
-1.4768x + 3.696y <= 605
-4.0965x + 0.2995y <= 235
8.7935x + 3.598y <= 142
-0.4946x + 2.9456y <= 192
3.8153x + 9.1377y <= 502
-2.1246x + -9.7261y <= 965
0.4289x + 2.5931y <= 187
-7.474x + -8.4902y <= 554
5.6527x + 7.012y <= 342
-9.8681x + 9.1949y <= 657
-6.2719x + -5.8115y <= 416
4.6552x + 0.5515y <= 689
-5.3782x + -9.2692y <= 995
-8.2299x + -5.458y <= 306
-3.601x + -3.7229y <= 988
-9.5378x + 0.2473y <= 299
2.8748x + 2.1702y <= 863
2.6403x + 5.9512y <= 500
-3.7507x + -5.2871y <= 214
0.8746x + 0.9755y <= 554
-5.7033x + -9.3627y <= 690
1.7235x + -2.3784y <= 600
-6.2816x + 1.2373y <= 624
-3.4961x + -5.3386y <= 395
5.758x + 4.5675y <= 613
9.1998x + 0.5282y <= 934
1.2612x + 7.6028y <= 894
5.9078x + 0.8457y <= 891
8.7857x + 0.9326y <= 860
-7.5166x + -4.2208y <= 380
1.1426x + -2.5217y <= 502
2.961x + 5.17y <= 769
-6.5338x + 4.559y <= 416
2.5098x + 6.6809y <= 806
4.0463x + -1.2216y <= 612
9.5864x + -8.9189y <= 492
-1.7844x + -2.148y <= 107
6.7877x + 6.4277y <= 938
-3.628x + 5.3694y <= 980
-9.3395x + 5.0849y <= 556
-3.9145x + 6.2677y <= 497
4.4792x + 7.1683y <= 325
8.2974x + 8.6126y <= 696
-5.0496x + 9.943y <= 778
-1.8391x + 4.0632y <= 917
-0.7436x + 3.2149y <= 562
-9.5839x + -2.4987y <= 484
-2.9301x + -2.3312y <= 221
9.4908x + -7.6631y <= 672
4.3087x + -8.3901y <= 418
1.5843x + -4.3731y <= 262
-1.952x + 8.6877y <= 954
-7.0584x + -2.54y <= 151
4.1078x + 7.1948y <= 734
-3.183x + 2.1252y <= 361
5.65x + 8.1537y <= 194
-9.6088x + 5.9581y <= 110
-5.4883x + -1.081y <= 521
8.0589x + 1.7783y <= 719
3.1335x + 4.732y <= 518
-0.8885x + -8.1115y <= 129
4.2245x + 9.5754y <= 610
0.0548x + -8.2147y <= 874
-5.9024x + -4.5801y <= 647
-3.2704x + -2.7164y <= 727
1.7987x + 0.0748y <= 728
4.1156x + 7.2517y <= 361
5.9394x + 2.8606y <= 624
0.4925x + 9.4898y <= 409
-2.1028x + 7.6786y <= 783
-5.4051x + 2.4363y <= 834
3.9276x + 7.956y <= 698
-9.2509x + -0.1986y <= 843
9.8617x + 1.6488y <= 238
-8.8522x + -8.1077y <= 896
-6.3491x + -6.6722y <= 978
1.8891x + -8.7278y <= 757
6.94x + -2.6611y <= 436
4.1706x + -4.1204y <= 247
-9.3634x + 8.1791y <= 124
-3.9456x + -3.5302y <= 680
5.6487x + -5.433y <= 930
2.8608x + 9.0853y <= 253
2.037x + 6.9321y <= 121
-3.3355x + 2.9179y <= 580
5.0087x + -5.0968y <= 197
-0.397x + -3.7171y <= 409
7.6733x + 7.4761y <= 323
-3.4042x + 9.3722y <= 425
9.9812x + -3.2512y <= 722
6.1869x + 1.7131y <= 907
-1.2527x + -3.6644y <= 465
-7.9225x + 0.4602y <= 366
4.1319x + 7.0569y <= 974
6.8004x + -6.9291y <= 719
8.2587x + 8.4662y <= 818
-2.7926x + 5.1302y <= 281
-3.4139x + -3.3998y <= 515
2.59x + -7.2128y <= 358
-8.7571x + 5.6126y <= 486
-9.3069x + -2.5433y <= 893
1.9028x + -3.2288y <= 513
3.0434x + -4.127y <= 862
-2.3751x + 5.7481y <= 899
-1.2624x + 9.7569y <= 191
-2.3562x + 5.6897y <= 247
8.1211x + 0.688y <= 483
-4.4391x + -2.2198y <= 471
-0.2344x + 6.9398y <= 671
3.033x + 3.1603y <= 817
-6.5677x + -3.7766y <= 371
-4.4347x + -6.6131y <= 707
-3.598x + 9.6302y <= 327
-3.5272x + 8.7959y <= 774
-6.2061x + -7.722y <= 249
9.3789x + -6.3215y <= 466
-2.0479x + 1.3284y <= 752
5.1833x + 2.0003y <= 673
1.1183x + -9.0796y <= 139
-2.9626x + -5.4348y <= 492
-4.9174x + -8.5078y <= 799
9.9283x + 5.8756y <= 221
0.2171x + -2.5966y <= 732
-8.4612x + 6.3832y <= 391
3.5768x + 1.2849y <= 291
3.5125x + -9.2735y <= 701
5.9389x + -7.5381y <= 661
9.8199x + 0.8208y <= 561
7.1194x + 1.5387y <= 371
5.235x + -3.5918y <= 870
6.131x + -4.9849y <= 346
-7.3605x + 0.027y <= 503
3.2081x + -3.0805y <= 891
0.4775x + 8.3412y <= 152
-7.4507x + 1.9811y <= 466
8.3983x + -5.6517y <= 465
9.7963x + 3.5772y <= 366
-5.3871x + -1.6167y <= 504
6.6432x + -6.7663y <= 286
-8.4069x + 8.9628y <= 205
6.3335x + 2.9986y <= 608
2.1896x + -1.1905y <= 979
5.8294x + -8.0565y <= 219
-0.7637x + 6.7868y <= 858
-8.2619x + 3.3334y <= 680
-2.1475x + -2.4987y <= 105
5.3144x + -7.8181y <= 564
7.9356x + 3.5217y <= 216
-9.2732x + -6.4528y <= 573
8.2707x + 1.1289y <= 577
5.1669x + 9.1352y <= 202
-8.6968x + 6.846y <= 362
-3.4351x + -3.6359y <= 328
5.3236x + -6.4938y <= 408
2.0985x + -5.5156y <= 761
1.2622x + -0.4713y <= 631
-6.5809x + -8.6511y <= 756
-9.2015x + 2.9471y <= 262
-0.5446x + 0.1882y <= 760
8.9407x + -4.9152y <= 757
-7.9273x + 3.6093y <= 352
-9.6533x + 3.5313y <= 863
5.4197x + 3.9334y <= 545
2.0855x + 3.682y <= 579
8.8004x + 4.4817y <= 900
7.8576x + -3.9024y <= 819
-8.9353x + -4.0197y <= 162
1.4545x + 4.6822y <= 487
-6.8552x + 6.5283y <= 509
-5.991x + 5.1051y <= 263
1.7888x + -9.9412y <= 747
-5.8559x + 2.3458y <= 897
2.255x + 5.7838y <= 959
4.8041x + 6.4861y <= 110
5.5016x + -4.3943y <= 528
8.6942x + 5.8319y <= 388
