#convex solver is unbounded  but os tool has solution INFEASIBLE 

# convex result: UNBOUNDED os tool result: INFEASIBLE
max -8.95x + -6.79y
1.19x + 3.41y <= 854.82
9.16x + -3.57y <= 245.87
1.57x + 0.92y <= 422.4
9.86x + 0.28y <= 362.12
3.44x + 1.82y <= -274.95
6.19x + 1.46y <= 533.52
8.09x + 8.88y <= 555.58
-2.43x + 2.5y <= -118.7
5.66x + 7.08y <= 575.4
4.62x + 3.79y <= 376.88
9.85x + -2.27y <= -455.35
5.87x + -0.98y <= -661.52
7.75x + -1.49y <= -838.52
0.84x + 3.53y <= -857.93
6.5x + 6.31y <= 657.18
5.32x + 5.82y <= 665.9
9.94x + 2.77y <= 312.5
-3.39x + 7.68y <= -750.82
5.64x + -3.26y <= -678.5
4.83x + 8.41y <= 733.1
1.45x + 9.68y <= 284.73
9.79x + -4.08y <= 343.42
5.08x + 8.18y <= 479.51
2.89x + 7.31y <= -366.24
-2.74x + 8.34y <= -539.38
4.48x + 7.58y <= -692.05
9.01x + 0.15y <= 569.82
2.76x + 2.0y <= 882.62
1.31x + 4.88y <= -598.47
8.23x + -4.28y <= 241.63
1.73x + 4.05y <= 917.13
-4.87x + 9.05y <= -777.86
3.1x + 0.04y <= -161.58
-2.37x + 4.11y <= -842.33
0.92x + 6.21y <= -717.63
5.34x + 5.17y <= -903.4
7.02x + 9.41y <= -961.65
1.02x + 1.48y <= 123.94
4.05x + -3.56y <= 227.64
-1.62x + 7.02y <= -858.07
6.01x + 6.39y <= -701.02
-5.66x + 9.87y <= 285.1
-5.01x + 7.55y <= -463.31
8.8x + -3.23y <= 737.85
9.8x + 0.54y <= -229.0
-1.9x + 4.58y <= -541.73
9.79x + -2.48y <= -601.52
8.51x + 5.65y <= 118.51
5.85x + 5.67y <= 374.81
2.93x + 4.57y <= 815.48
-5.77x + 7.51y <= 977.01
7.7x + 9.31y <= 536.33
-5.38x + 5.82y <= -191.21
-2.17x + 4.26y <= 396.51
9.79x + 0.42y <= 247.87
6.83x + 3.1y <= 679.62
6.04x + 6.26y <= -380.01
3.5x + 3.14y <= 536.53
9.0x + -2.08y <= 705.22
9.4x + 8.07y <= -267.54
5.26x + 0.91y <= -813.46
3.67x + 4.59y <= -745.99
-1.18x + 3.58y <= -128.86
-3.37x + 9.1y <= 467.83
9.8x + -2.87y <= 143.44
8.24x + 7.53y <= 912.64
8.98x + -7.0y <= -469.21
-2.9x + 7.01y <= -133.3
2.89x + 2.58y <= -630.14
0.3x + 7.02y <= -567.92
-5.07x + 5.95y <= 170.01
6.1x + -1.26y <= -594.59
8.67x + -4.73y <= 908.46
8.23x + 0.7y <= 684.15
1.96x + 5.98y <= -995.59
9.63x + 8.21y <= -157.2
-3.71x + 5.21y <= 939.28
-4.19x + 5.86y <= -549.43
3.19x + 9.54y <= 922.43
7.07x + -2.56y <= 364.32
9.51x + -4.07y <= -398.14
-3.27x + 9.56y <= -742.53
-3.04x + 7.39y <= -357.93
-3.78x + 9.75y <= -629.1
9.91x + -6.36y <= 906.64
-5.16x + 7.26y <= -214.99
6.5x + 2.62y <= 163.34
-0.95x + 7.26y <= -997.12
2.17x + 1.19y <= -472.58
8.75x + -8.08y <= -721.48
0.15x + 5.16y <= 856.32
2.55x + 2.63y <= 323.84
1.47x + 6.98y <= -169.04
9.85x + 9.89y <= 798.8
4.4x + 4.16y <= -491.44
0.06x + 0.31y <= -198.24
-0.9x + 1.11y <= -456.03
7.47x + 6.4y <= 954.66
